,0
0,I
1,'m
2,in
3,need
4,of
5,a
6,Meijer
7,G
8,function
9,in
10,scipy
11,.
12,I
13,read
14,somewhere
15,on
16,the
17,internet
18,that
19,due
20,to
21,its
22,generality
23,","
24,the
25,Meier
26,G
27,function
28,is
29,not
30,supported
31,as
32,a
33,special
34,function
35,in
36,scipy
37,","
38,but
39,everyone
40,should
41,write
42,something
43,up
44,according
45,to
46,his
47,personal
48,use
49,case
50,.
51,My
52,problem
53,is
54,that
55,I
56,have
57,no
58,experience
59,whatsoever
60,with
61,complex
62,integration
63,.
64,As
65,LaTeX
66,is
67,forbidden
68,here
69,","
70,here
71,'s
72,what
73,I
74,'m
75,trying
76,to
77,solve
78,"numerically:
(the first line being the general case, the second line my case that I'm trying to compute)"
79,","
80,with
81,p
82,"(a),"
83,k
84,","
85,k2
86,given
87,As
88,wikipedia
89,states
90,","
91,there
92,are
93,three
94,ways
95,to
96,get
97,"L:
L runs from −i∞ to +i∞ such that all poles of Γ(bj − s)"
98,","
99,j = 1
100,","
101,2
102,","
103,"...,"
104,m
105,","
106,are
107,on
108,the
109,right
110,of
111,the
112,path
113,","
114,while
115,all
116,poles
117,of
118,Γ
119,(1
120,−
121,ak
122,+
123,s
124,"),"
125,k = 1
126,","
127,2
128,","
129,"...,"
130,n
131,","
132,are
133,on
134,the
135,left
136,.
137,L
138,is
139,a
140,loop
141,beginning
142,and
143,ending
144,at
145,"+∞,"
146,encircling
147,all
148,poles
149,of
150,Γ
151,(bj
152,−
153,s
154,"),"
155,j = 1
156,","
157,2
158,","
159,"...,"
160,m
161,","
162,exactly
163,once
164,in
165,the
166,negative
167,direction
168,","
169,but
170,not
171,encircling
172,any
173,pole
174,of
175,Γ
176,(1
177,−
178,ak
179,+
180,s
181,"),"
182,k = 1
183,","
184,2
185,","
186,"...,"
187,n
188,.
189,L
190,is
191,a
192,loop
193,beginning
194,and
195,ending
196,at
197,−∞
198,and
199,encircling
200,all
201,poles
202,of
203,Γ
204,(1
205,−
206,ak
207,+
208,s
209,"),"
210,k = 1
211,","
212,2
213,","
214,"...,"
215,n
216,","
217,exactly
218,once
219,in
220,the
221,positive
222,direction
223,","
224,but
225,not
226,encircling
227,any
228,pole
229,of
230,Γ
231,(bj
232,−
233,s
234,"),"
235,j = 1
236,","
237,2
238,","
239,"...,"
240,m
241,.
242,How
243,do
244,I
245,get
246,L
247,and
248,solve
249,the
250,integral
251,?
252,The
253,way
254,I
255,'m
256,used
257,to
258,compute
259,integrals
260,over
261,the
262,reals
263,is
264,to
265,I
266,'m
267,not
268,too
269,much
270,after
271,efficiency
272,","
273,I
274,'d
275,prefer
276,a
277,simple
278,and
279,slow
280,working
281,example
282,that
283,I
284,can
285,use
286,to
287,understand
288,the
289,methodology
290,.
