,0
0,Unpickling
1,a
2,pickle
3,amounts
4,to
5,executing
6,arbitrary
7,code
8,.
9,An
10,attacker
11,can
12,create
13,a
14,pickle
15,which
16,will
17,execute
18,system
19,commands
20,during
21,unpickling
22,.
23,Here
24,'s
25,an
26,example
27,from
28,a
29,good
30,blog
31,post
32,on
33,the
34,topic
35,:
36,This
37,clearly
38,states
39,that
40,pickle
41,is
42,insecure
43,.
44,Many
45,think
46,this
47,is
48,because
49,it
50,can
51,load
52,classes
53,other
54,than
55,what
56,you
57,expect
58,and
59,may
60,trick
61,you
62,to
63,run
64,their
65,functions
66,.
67,But
68,the
69,actual
70,security
71,risk
72,is
73,far
74,more
75,dangerous
76,.
77,Unpickling
78,can
79,be
80,exploited
81,to
82,execute
83,arbitrary
84,commands
85,on
86,your
87,machine
88,!
