,0
0,I
1,need
2,to
3,enter
4,earnings
5,of
6,employees
7,","
8,employee
9,wise
10,by
11,click
12,them
13,from
14,my
15,tree
16,view
17,(tree
18,shows
19,workers
20,relevant
21,to
22,above
23,selected
24,division
25,.)after
26,their
27,worked
28,hours
29,/total
30,kgs
31,&
32,over
33,kgs
34,enters
35,then
36,form
37,allows
38,to
39,enter
40,wages
41,",incentives,overtime"
42,&
43,other
44,things
45,so
46,need
47,to
48,add
49,that
50,form
51,below
52,section
53,of
54,my
55,form
56,.(not
57,as
58,a
59,popup
60,window
61,)
62,currently
63,employees
64,'
65,worked
66,hours
67,/total
68,kgs
69,&
70,over
71,kgs
72,saved
73,in
74,a
75,table
76,&
77,wages
78,",incentives,overtime"
79,&
80,other
81,things
82,saved
83,in
84,another
85,table
86,.both
87,have
88,worker_id
89,column
90,for
91,identify
92,workers
93,.
94,please
95,advice
96,me
97,to
98,implement
99,this
100,in
101,openerp
102,ver
103,7
104,refer
105,this
106,link
107,for
108,my
109,form
110,picture
