,0
0,I
1,don
2,'t
3,know
4,if
5,gwhois
6,does
7,something
8,special
9,with
10,the
11,server
12,output
13,;
14,however
15,","
16,you
17,can
18,plainly
19,connect
20,to
21,the
22,whois
23,server
24,on
25,port
26,whois
27,"(43),"
28,send
29,your
30,query
31,","
32,read
33,all
34,the
35,data
36,in
37,the
38,reply
39,and
40,parse
41,them
42,.
43,To
44,make
45,life
46,a
47,little
48,easier
49,","
50,you
51,could
52,use
53,the
54,telnetlib
55,.Telnet
56,class
57,(even
58,if
59,the
60,whois
61,protocol
62,is
63,much
64,simpler
65,than
66,the
67,telnet
68,protocol
69,)
70,instead
71,of
72,plain
73,sockets
74,.
75,The
76,tricky
77,parts
78,:
79,which
80,whois
81,server
82,will
83,you
84,ask
85,?
86,RIPE
87,","
88,ARIN
89,","
90,APNIC
91,","
92,LACNIC
93,","
94,AFRINIC
95,","
96,JPNIC
97,","
98,VERIO
99,etc
100,LACNIC
101,could
102,be
103,a
104,useful
105,fallback
106,","
107,since
108,they
109,tend
110,to
111,reply
112,with
113,useful
114,data
115,to
116,requests
117,outside
118,of
119,their
120,domain
121,.
122,what
123,are
124,the
125,exact
126,options
127,and
128,arguments
129,for
130,each
131,whois
132,server
133,?
134,some
135,offer
136,help
137,","
138,others
139,don
140,'t.
141,In
142,general
143,","
144,plain
145,domain
146,names
147,work
148,without
149,any
150,special
151,options
152,.
