,0
0,I
1,placed
2,the
3,treeview
4,widget
5,within
6,a
7,grid
8,cell
9,","
10,which
11,uses
12,stick=N
13,"+S+E+W,"
14,in
15,order
16,to
17,attach
18,the
19,widget
20,borders
21,to
22,the
23,grid
24,cell
25,'s
26,borders
27,.
28,Also
29,","
30,I
31,set
32,grid_columnconfigure
33,"(0,"
34,weight=1
35,)
36,for
37,the
38,parent
39,"(root),"
40,in
41,order
42,to
43,resize
44,widgets
45,in
46,column
47,0
48,(the
49,one
50,which
51,also
52,contains
53,the
54,treeview
55,)
56,according
57,to
58,the
59,main
60,window
61,size
62,(resizable).
63,Despite
64,so
65,","
66,some
67,columns
68,"(""bitrate"","
69,"""status"")"
70,of
71,the
72,treeview
73,widget
74,do
75,not
76,show
77,","
78,because
79,the
80,whole
81,widget
82,is
83,bigger
84,than
85,the
86,grid
87,cell
88,which
89,contains
90,it
91,.
92,Here
93,'s
94,the
95,source
96,:
97,Here
98,'s
99,a
100,screenshot
101,:
102,http
103,://i.stack.imgur.com/U1g44.png.
104,As
105,you
106,can
107,see
108,","
109,the
110,columns
111,"""bitrate"""
112,and
113,"""status"""
114,aren
115,'t
116,shown
117,.
118,They
119,can
120,be
121,viewed
122,only
123,by
124,increasing
125,the
126,width
127,of
128,the
129,main
130,window
131,.
132,I
133,can
134,'t
135,figure
136,out
137,where
138,'s
139,the
140,problem
141,.
142,Thanks
143,for
144,taking
145,your
146,time
147,.
