,0
0,FreeLibrary
1,takes
2,a
3,handle
4,","
5,defined
6,as
7,a
8,C
9,void
10,*
11,pointer
12,.
13,Refer
14,to
15,Windows
16,Data
17,Types
18,.
19,Set
20,this
21,in
22,the
23,function
24,pointer
25,'s
26,"argtypes: 
The default conversion of a Python int or long (renamed int in Python 3)"
27,is
28,to
29,a
30,C
31,long
32,","
33,which
34,is
35,subsequently
36,cast
37,to
38,a
39,C
40,int
41,.
42,Microsoft
43,uses
44,a
45,32
46,-bit
47,long
48,even
49,on
50,64
51,-bit
52,Windows
53,","
54,which
55,is
56,why
57,the
58,conversion
59,raises
60,OverflowError
61,.
62,On
63,platforms
64,that
65,have
66,a
67,64
68,-bit
69,long
70,(i.e.
71,pretty
72,much
73,every
74,other
75,64
76,-bit
77,OS
78,"),"
79,passing
80,a
81,pointer
82,as
83,a
84,Python
85,integer
86,without
87,defining
88,the
89,function
90,'s
91,argtypes
92,may
93,actually
94,segfault
95,the
96,process
97,.
98,The
99,initial
100,conversion
101,to
102,long
103,works
104,fine
105,because
106,it
107,'s
108,the
109,same
110,size
111,as
112,a
113,pointer
114,.
115,However
116,","
117,subsequently
118,casting
119,to
120,a
121,32
122,-bit
123,C
124,int
125,may
126,silently
127,truncate
128,the
129,value
130,.
