,0
0,Thank
1,you
2,for
3,all
4,your
5,answers
6,","
7,they
8,have
9,been
10,really
11,helpful
12,!
13,I
14,decided
15,to
16,use
17,the
18,IF
19,loop
20,instead
21,of
22,the
23,FOR
24,loop
25,","
26,like
27,this
28,:
29,As
30,much
31,as
32,I
33,can
34,see
35,","
36,this
37,solution
38,works
39,no
40,matter
41,what
42,the
43,length
44,of
45,the
46,list
47,is
48,","
49,and
50,it
51,seems
52,like
53,it
54,fits
55,the
56,definition
57,of
58,the
59,problem
60,i
61,.e.
62,"""no"
63,matter
64,what
65,the
66,length
67,of
68,the
69,list
70,is
71,","
72,if
73,any
74,of
75,the
76,first
77,four
78,elements
79,equals
80,9
81,","
82,return
83,True
84,"""."
