,0
0,This
1,document
2,seems
3,to
4,go
5,into
6,quite
7,a
8,bit
9,of
10,detail
11,(and
12,I
13,think
14,a
15,complete
16,description
17,is
18,out
19,of
20,scope
21,for
22,a
23,stackoverflow
24,answer
25,):
26,"http://codespeak.net/pypy/dist/pypy/doc/translation.html
The general idea of translating from one language to another isn't particularly revolutionary, but it has only recently been gaining popularity / applicability in ""real-world"" applications.  GWT does this with Java (generating Javascript)"
27,and
28,there
29,is
30,a
31,library
32,for
33,translating
34,Haskell
35,into
36,various
37,other
38,languages
39,as
40,well
41,(called
42,YHC
43,)
