,0
0,Since
1,I
2,'m
3,a
4,Python
5,beginner
6,","
7,I
8,'m
9,trying
10,to
11,study
12,some
13,codes
14,from
15,some
16,websites
17,.
18,I
19,found
20,in
21,GitHub
22,an
23,algorithm
24,which
25,does
26,a
27,Bruteforce
28,search
29,for
30,arithmetic
31,expressions
32,.
33,The
34,code
35,"is:
it simply ends trying any arithmetic expression using my numbers, then prints the ones which get the target as result (the result I have)"
36,.
37,I
38,'m
39,wondering
40,","
41,how
42,can
43,I
44,make
45,it
46,print
47,any
48,solution
49,the
50,script
51,tried
52,when
53,the
54,expression
55,doesn
56,'t
57,have
58,as
59,result
60,the
61,target
62,I
63,'ve
64,set
65,?
66,edit
67,:
68,This
69,is
70,the
71,code
72,I
73,tried
74,:
75,I
76,get
77,the
78,actual
79,product
80,as
81,result
82,","
83,but
84,I
85,get
86,results
87,for
88,small
89,operations
90,in
91,expressions
92,:
93,While
94,I
95,'m
96,actually
97,trying
98,to
99,get
100,only
101,42
102,at
103,the
104,start
105,of
106,the
107,string
108,.
