,0
0,I
1,have
2,an
3,SQLite
4,database
5,with
6,3
7,tables
8,.
9,Each
10,of
11,these
12,tables
13,have
14,two
15,columns: name and value such that all the tables have the same records (name)
16,but
17,different
18,values
19,.
20,How
21,do
22,I
23,select
24,the
25,records
26,that
27,are
28,a
29,part
30,of
31,least
32,sum
33,of
34,values
35,spanning
36,across
37,these
38,tables
39,such
40,that
41,the
42,record
43,names
44,are
45,unique
46,?
47,"Names: Steven, Jamie, Michael, Jordan, Gary
Values
(in the order of names)"
48,Table
49,"1: 1, 2, 3, 4, 5
Table 2: 2, 3, 1, 5, 6
Table 3: 9, 0, 2, 11, 3
The output should return (Steven, Michael, Jamie)"
50,because
51,the
52,sum
53,of
54,the
55,values
56,in
57,this
58,case
59,would
60,equal
61,to
62,2
63,which
64,would
65,be
66,the
67,least
68,possible
69,.
