,0
0,I
1,run
2,into
3,this
4,problem
5,frequently
6,in
7,Python
8,'s
9,ggplot
10,when
11,working
12,with
13,multiple
14,stock
15,prices
16,and
17,economic
18,timeseries
19,.
20,The
21,key
22,to
23,remember
24,with
25,ggplot
26,is
27,that
28,data
29,is
30,best
31,organized
32,in
33,long
34,format
35,to
36,avoid
37,any
38,issues
39,.
40,I
41,use
42,a
43,quick
44,two
45,step
46,process
47,as
48,a
49,workaround
50,.
51,First
52,let
53,'s
54,grab
55,some
56,stock
57,"data:
First understand that ggplot needs the datetime index to be a column in the pandas dataframe in order to plot correctly when switching from wide to long format. I wrote a function to address this particular point. It simply creates a 'Date' column of type=datetime from the pandas series index.
From there run the function on the df. Use the result as the object in pandas pd.melt using the 'Date' as the id_vars. The returned df is now ready to be plotted using the standard ggplot()"
58,format
59,.
60,From
61,here
62,you
63,can
64,now
65,plot
66,your
67,data
68,however
69,you
70,want
71,.
72,A
73,common
74,plot
75,I
76,use
77,is
78,the
79,following
80,:
